# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
21844 16.80312 1.25229 1.02442 0.03218 0.64520 0.23846 0.55
6785 17.36905 1.26005 1.00432 0.04691 0.64936 0.21512 0.56
21785 17.65466 1.16844 0.98597 0.05406 0.61993 0.23769 0.59
8485 17.83622 1.23805 0.97352 0.05964 0.61963 0.22479 0.59
6278 18.07901 1.06822 0.95176 0.06170 0.48843 0.22625 0.46
7840 18.09173 1.25724 0.95265 0.06567 0.56963 0.20709 0.58
8508 18.14710 1.23070 0.94747 0.06580 0.54322 0.21265 0.57
21986 18.15082 1.26188 0.94754 0.06665 0.56376 0.20391 0.56
25959 18.35784 1.25453 0.92588 0.06648 0.52922 0.20312 0.52
21095 18.42599 1.25388 0.91884 0.06624 0.53322 0.20399 0.50
24339 16.20332 1.25530 1.03276 0.02538 0.62664 0.23403 0.51
24190 16.49687 1.24511 1.02962 0.02782 0.61430 0.24924 0.53
10491 20.05607 1.13316 0.75362 0.05790 0.36721 0.16190 0.38
23579 20.19511 1.23733 0.74081 0.05693 0.37315 0.15573 0.37
6189 16.68670 1.29855 1.02698 0.03034 0.62767 0.23345 0.51
7538 17.36419 1.24245 1.00427 0.04658 0.65194 0.21845 0.58
8125 17.63564 1.18850 0.98738 0.05372 0.62302 0.23484 0.59
7184 17.67111 1.24350 0.98566 0.05542 0.62918 0.22228 0.58
23734 17.72870 1.27262 0.98202 0.05735 0.61535 0.21132 0.56
15512 17.76428 1.22053 0.97881 0.05770 0.61706 0.22859 0.59
15526 17.88267 1.27753 0.97030 0.06149 0.60423 0.21905 0.57
5619 18.36437 1.26768 0.92513 0.06661 0.53560 0.20048 0.53
22765 18.89507 1.26395 0.87011 0.06637 0.47277 0.19582 0.45
61537 19.62329 1.20513 0.79453 0.06225 0.40205 0.17273 0.37
8637 20.03240 0.90956 0.75713 0.05829 0.36488 0.15644 0.41
22655 20.07453 0.81455 0.75437 0.05684 0.36309 0.15517 0.42
10098 20.08362 1.09234 0.75148 0.05735 0.36247 0.15808 0.38
23559 15.46070 1.17747 1.03663 0.02437 0.61672 0.24376 0.50
23155 15.68414 1.16635 1.03551 0.02440 0.63195 0.23138 0.50
6450 17.26199 1.25445 1.00932 0.04372 0.64946 0.21824 0.56
61837 17.57937 1.26774 0.99214 0.05293 0.62655 0.22245 0.58
23376 17.69726 1.23438 0.98381 0.05612 0.61412 0.22406 0.59
22060 17.74259 1.22874 0.98054 0.05727 0.61811 0.22246 0.59
21096 17.86807 1.20891 0.97077 0.06011 0.59895 0.23305 0.58
14972 15.56140 1.10244 1.03597 0.02433 0.63009 0.23638 0.50
26918 15.74972 1.18031 1.03526 0.02438 0.63195 0.23287 0.51
62150 17.63095 1.28006 0.98876 0.05484 0.62037 0.22080 0.56
21079 17.69828 1.28299 0.98424 0.05677 0.61693 0.21517 0.56
15224 17.93108 1.07056 0.96458 0.05983 0.51951 0.24539 0.49
21647 18.72219 0.96063 0.88877 0.06468 0.40176 0.18692 0.40
7948 19.90614 1.18962 0.76684 0.05990 0.39045 0.16514 0.36
20706 15.83849 1.18095 1.03485 0.02450 0.62945 0.23523 0.51
8758 15.93174 1.24310 1.03450 0.02458 0.61066 0.23694 0.50
