# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
4760 18.46956 1.37332 0.81608 0.01839 0.46208 0.17476 0.50
5566 15.10615 1.79540 0.82981 0.02381 0.47891 0.18983 0.48
4506 16.58911 1.44195 0.82257 0.01954 0.46296 0.17002 0.48
5015 16.46103 1.44388 0.82305 0.01963 0.46392 0.17238 0.48
4459 18.12987 1.36834 0.81799 0.01848 0.49815 0.18480 0.50
4414 18.71263 1.33640 0.81373 0.01843 0.46517 0.18118 0.51
5646 18.34156 1.51612 0.81707 0.01844 0.44827 0.18031 0.46
3979 18.18608 1.58930 0.81826 0.01925 0.45528 0.17930 0.47
4773 19.17503 1.34059 0.80561 0.01916 0.45526 0.17091 0.50
4920 16.80049 0.63900 0.82281 0.01868 0.44551 0.18741 0.50
5533 18.12935 0.67127 0.81711 0.01845 0.56895 0.19105 0.51
4972 17.47490 0.53064 0.82005 0.01856 0.50091 0.20311 0.50
5003 14.89796 1.64038 0.82765 0.02202 0.46814 0.18425 0.48
3931 17.65526 1.23323 0.81967 0.01860 0.48502 0.19970 0.50
4732 18.10277 1.39280 0.81813 0.01849 0.49417 0.18643 0.48
4508 17.45183 0.49202 0.82015 0.01853 0.50030 0.20315 0.50
3774 17.34362 1.35679 0.82055 0.01873 0.47112 0.19342 0.49
5490 17.47881 1.36326 0.82018 0.01864 0.47603 0.19616 0.49
3909 16.38997 1.47850 0.82316 0.01951 0.46573 0.17557 0.48
5101 18.49652 1.71268 0.82555 0.03121 0.41641 0.17182 0.50
4483 19.01032 1.15764 0.80873 0.01851 0.51890 0.17995 0.55
5019 17.19692 1.46651 0.82100 0.01894 0.45679 0.18769 0.47
4004 18.56696 1.55200 0.81587 0.01917 0.42306 0.17114 0.48
3925 17.17401 1.28555 0.82086 0.01868 0.46775 0.18968 0.50
4762 18.43153 1.39859 0.81639 0.01841 0.45632 0.18068 0.49
4484 19.03125 1.16810 0.80838 0.01855 0.51854 0.17819 0.55
4985 18.98337 1.83070 0.82473 0.03913 0.41530 0.17796 0.48
4445 16.73574 0.67724 0.82301 0.01871 0.44474 0.18632 0.50
3988 17.09167 1.50728 0.82139 0.01927 0.44474 0.18473 0.47
4925 16.38183 0.93501 0.82384 0.01896 0.45200 0.18169 0.49
4945 16.91509 1.32223 0.82152 0.01899 0.46129 0.18248 0.49
5054 18.14203 1.28386 0.81787 0.01848 0.50500 0.18806 0.52
3776 19.16927 1.17567 0.80536 0.01882 0.49289 0.18285 0.54
4462 18.55465 1.42828 0.81548 0.01842 0.44867 0.17394 0.48
4977 16.29111 1.24634 0.82389 0.01918 0.46989 0.18212 0.49
3969 15.81105 1.58640 0.82463 0.02031 0.49234 0.19808 0.46
4478 17.35997 0.59233 0.82049 0.01853 0.49172 0.19906 0.50
5060 18.94336 1.42080 0.81069 0.01869 0.44615 0.17113 0.47
3798 17.02675 1.50215 0.82175 0.01969 0.45289 0.18270 0.46
4768 16.26755 1.48172 0.82349 0.01942 0.47047 0.17538 0.47
3727 17.95002 1.38337 0.81879 0.01865 0.48378 0.19111 0.50
3964 18.50034 1.59722 0.81738 0.02144 0.42405 0.17012 0.48
3718 18.82088 1.41067 0.81257 0.01852 0.44165 0.17116 0.48
3650 19.24572 1.17793 0.80354 0.01902 0.48557 0.18329 0.51
4995 18.57241 1.36419 0.81525 0.01843 0.46566 0.17752 0.50
5063 18.78861 1.61424 0.81660 0.02547 0.43325 0.16342 0.48
5020 15.19146 1.49481 0.82595 0.02100 0.46690 0.18913 0.47
4496 19.27231 0.97546 0.80189 0.01893 0.47534 0.18090 0.49
3796 19.01939 1.34935 0.80911 0.01887 0.45857 0.17911 0.49
3962 16.70521 1.01013 0.82267 0.01874 0.45165 0.18463 0.50
4505 19.15363 1.22544 0.80588 0.01887 0.48372 0.17845 0.53
4409 16.29717 1.11051 0.82400 0.01914 0.46271 0.18497 0.49
3717 17.72379 1.57219 0.81986 0.01911 0.44159 0.19071 0.47
4779 19.51258 0.84978 0.79747 0.01982 0.44863 0.17938 0.49
4978 17.30027 1.14629 0.82059 0.01867 0.48592 0.19219 0.50
3793 19.01309 1.51075 0.80984 0.01967 0.43556 0.17042 0.47
4512 18.94422 1.16241 0.80994 0.01846 0.52719 0.18294 0.56
3991 18.04129 1.41762 0.81841 0.01852 0.47991 0.18747 0.48
4989 16.61237 0.85121 0.82322 0.01877 0.44557 0.18509 0.50
4539 18.66449 0.57981 0.81106 0.01787 0.58374 0.18476 0.51
3965 16.32806 1.52146 0.82336 0.01961 0.46928 0.17326 0.47
5553 16.15278 1.53956 0.82344 0.01958 0.47821 0.18452 0.45
4983 18.64247 1.25883 0.81436 0.01839 0.50773 0.18286 0.53
3913 15.71744 1.54659 0.82432 0.01993 0.49123 0.19623 0.47
3736 19.40188 1.49391 0.79951 0.02001 0.47064 0.17692 0.50
3758 18.98869 1.85669 0.82541 0.03939 0.41464 0.17866 0.48
3976 17.67994 1.53537 0.81984 0.01897 0.44148 0.19312 0.47
5579 18.84738 1.30924 0.81197 0.01850 0.47013 0.17605 0.51
4957 18.49517 1.20291 0.81558 0.01837 0.52055 0.18763 0.54
5055 14.72732 0.84751 0.82553 0.01995 0.46646 0.18933 0.49
3781 17.50451 1.45663 0.82017 0.01871 0.46452 0.19426 0.47
3935 18.02266 1.57998 0.81889 0.01924 0.45143 0.18088 0.47
3978 16.27506 1.63041 0.82446 0.02108 0.47670 0.17981 0.46
4438 15.72232 1.45805 0.82410 0.01942 0.49290 0.19716 0.48
4396 16.99686 1.57875 0.82257 0.02073 0.45259 0.18130 0.46
5531 17.84839 1.52867 0.81918 0.01867 0.45025 0.18701 0.46
4990 18.03064 1.27785 0.81838 0.01851 0.50609 0.19104 0.51
4914 15.66736 1.66303 0.82655 0.02195 0.49096 0.19655 0.47
5000 16.74980 1.37856 0.82211 0.01927 0.45858 0.17428 0.49
3948 16.07643 1.44605 0.82374 0.01933 0.49056 0.19408 0.47
5551 16.29784 0.93089 0.82400 0.01892 0.46124 0.18469 0.50
5494 18.09707 1.60571 0.81887 0.01969 0.45358 0.18060 0.48
4367 17.87117 1.36241 0.81906 0.01867 0.47616 0.19281 0.49
4345 15.76834 1.32775 0.82418 0.01914 0.50406 0.19697 0.49
3923 17.73750 1.37400 0.81948 0.01859 0.47014 0.19759 0.49
4404 16.78249 1.76178 0.83280 0.02849 0.46037 0.17811 0.50
4441 17.07926 1.43452 0.82122 0.01894 0.44749 0.18572 0.48
4005 18.42601 1.60909 0.81786 0.02146 0.42960 0.17510 0.48
4999 16.33251 1.40378 0.82344 0.01926 0.46957 0.17695 0.48
3797 17.03075 0.53341 0.82185 0.01839 0.46404 0.19017 0.50
3817 16.09306 1.30768 0.82439 0.01922 0.48253 0.19311 0.49
3966 16.00164 1.48809 0.82356 0.01945 0.49158 0.19366 0.48
4926 16.55123 1.44909 0.82276 0.01959 0.45972 0.17180 0.48
3961 17.55563 1.63866 0.82237 0.02212 0.45271 0.18997 0.48
3723 17.80453 0.97119 0.81910 0.01857 0.50497 0.20165 0.51
3957 17.74453 1.34199 0.81943 0.01859 0.47789 0.19692 0.50
3829 18.25304 1.33065 0.81736 0.01846 0.49486 0.18796 0.51
