EDR3Name RA DEC Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag BP-RP e_Gmag e_BP-RP sel memb_probs
44 272.6574688 -31.80569933 0.163132096 0.45032746 -5.677671865 0.49231842 -6.15902492 0.3389543 19.501364 1.84379 0.004408405 0.077718046 -1 0.0
45 272.6651323 -31.79871813 0.230717833 0.051187146 -3.497725351 0.05452964 -5.648320653 0.038097378 15.815313 1.8331127 0.000822787 0.002272787 -1 0.0
46 272.6601212 -31.80468382 0.022149126 0.11329522 -3.130159114 0.12804754 -3.657308196 0.09122532 17.582352 1.7058163 0.001307294 0.009689211 -1 0.0
47 272.6619332 -31.80267064 1.291604615 0.23327768 0.201312292 0.2456015 -1.432849162 0.17673221 18.44559 1.3068256 0.002389059 0.020051945 -1 0.0
48 272.6589912 -31.8039866 0.293160369 0.3541704 1.40964567 0.3737085 -10.77970572 0.27093452 19.328165 1.3015652 0.003749478 0.043324845 -1 0.0
49 272.6630937 -31.8022134 0.385285975 0.14473684 -5.770246345 0.14776933 -10.18415714 0.10918504 17.965412 1.4162388 0.001470862 0.013574859 -1 0.0
50 272.6639773 -31.80104638 -0.19461485 0.21906525 -2.635117963 0.22645271 -4.68095361 0.17018455 18.664293 1.7751617 0.003840681 0.141534272 -1 0.0
51 272.6640764 -31.7992895 0.276103554 0.19047572 -4.392415346 0.21253273 -5.533717772 0.15099414 18.398037 1.6005936 0.002667268 0.025226976 -1 0.0
52 272.6632504 -31.80111865 0.189140363 0.0367975 -2.587761891 0.03173968 -4.109252183 0.023959398 14.496276 1.742116 0.000299359 0.000786228 -1 0.0
53 272.6620306 -31.8015742 2.782317112 0.75741494 -4.385644826 0.5796032 -6.316262921 0.46570274 19.537447 1.6724586 0.005697869 0.004134952 -1 0.0
54 272.6056755 -31.84233297 0.719690883 0.03501468 0.017058883 0.038076643 -2.052096182 0.02559076 14.98242 0.97127056 0.000460933 0.005975066 -1 0.0
55 272.6020521 -31.84365264 0.407379722 0.22050796 0.113184644 0.22111201 -6.604798006 0.15903014 18.361643 1.274086 0.002888311 0.017875548 -1 0.0
56 272.6046754 -31.83896743 0.909934867 0.06784356 3.197667557 0.07066483 -3.104814167 0.049196336 16.360468 1.2397537 0.001252489 0.004886378 -1 0.0
57 272.5995136 -31.84422391 0.315044356 0.08801511 -3.576215897 0.09492802 -3.539435839 0.066113085 16.995502 1.5367508 0.001283941 0.009242814 -1 0.0
58 272.5991662 -31.8428554 0.085555869 0.17144705 0.465164626 0.17596191 1.130352145 0.1263293 18.076067 1.2450199 0.001692136 0.018887906 -1 0.0
59 272.606527 -31.84055984 0.22577216 0.26420727 -0.07374562 0.25635403 -4.431732585 0.1902486 18.658176 1.7103634 0.002362545 0.019088508 -1 0.0
60 272.6057576 -31.84051249 0.537019606 0.49711865 -3.308317653 0.49326277 -4.326888572 0.31266615 19.346952 2.5468254 0.007620007 0.07542662 -1 0.0
61 272.6040367 -31.84110215 0.379839293 0.18823653 -2.952466123 0.20717177 -4.623478928 0.13034895 18.092104 1.2418118 0.002483257 0.019736592 -1 0.0
62 272.6014041 -31.84120889 0.420137005 0.15294752 -3.100775188 0.15701276 -7.438143618 0.10969588 17.916937 1.392231 0.001288722 0.027184127 -1 0.0
63 272.6029968 -31.83905617 0.79615827 0.39345986 -4.709147952 0.39967388 -8.509313575 0.28279158 19.039242 1.3010292 0.003968719 0.03772915 -1 0.0
64 272.6002243 -31.84143521 0.402279447 0.22987044 -5.813865454 0.24947499 -3.958379681 0.17406265 18.599087 1.3131218 0.00230151 0.029238266 -1 0.0
65 272.6011746 -31.84034711 -0.002815014 0.09102648 -3.674179872 0.08557999 -7.456139189 0.058879998 16.736643 1.6771584 0.000738495 0.006279825 -1 0.0
66 272.6074607 -31.84184537 -0.01544957 0.06481077 -2.617108851 0.06934486 -4.641476466 0.046841063 16.44368 1.5806017 0.000741207 0.002746085 -1 0.0
67 272.604172 -31.84212538 -0.15893544 0.08980604 -2.753572549 0.08894981 -8.619430536 0.062024597 16.533636 1.8110857 0.000888135 0.004982101 -1 0.0
68 272.60207 -31.84222506 0.107481575 0.08780691 -3.753641982 0.08655466 -3.872763793 0.06115036 16.882408 1.8073292 0.000891855 0.00569264 -1 0.0
69 272.5987198 -31.84458106 0.978101457 0.38841188 -4.030758723 0.42862672 -7.056145697 0.28072828 19.25728 1.384573 0.003846316 0.113700751 -1 0.0
70 272.5975573 -31.84459917 0.203614596 0.17811783 3.322421146 0.17968537 -5.143577307 0.12390824 18.120153 1.3993111 0.003013053 0.018433263 -1 0.0
71 272.583359 -31.83965921 0.52554405 0.067216344 1.354683292 0.071737856 -0.862383428 0.047194123 16.445896 1.0009642 0.000608715 0.003659964 -1 0.0
72 272.5838917 -31.84480501 0.446209415 0.19747493 -2.57498862 0.20333137 -5.455761943 0.14004438 18.115929 1.392889 0.001527962 0.014565158 -1 0.0
73 272.5769803 -31.84252112 0.222021747 0.15859604 -1.241398102 0.17284724 -1.990292915 0.109460786 17.569763 1.1407509 0.001414814 0.017595582 -1 0.0
74 272.577243 -31.84353104 0.323477994 0.21465485 -5.215409359 0.21045087 -6.329504061 0.14129612 18.227303 1.6624985 0.00188852 0.032877445 -1 0.0
75 272.5796756 -31.84615765 0.130931485 0.027901603 4.952329858 0.029236605 -8.881078025 0.01932084 14.059511 1.6049643 0.000319531 0.001786771 -1 0.0
76 272.58028 -31.84485249 0.650503526 0.34467512 -6.7679855 0.2526167 -2.794397051 0.19822848 18.290184 1.2742596 0.003906243 0.022949929 -1 0.0
77 272.5807726 -31.84511923 0.127196165 0.29848185 -4.730788291 0.22900988 0.987453432 0.18688896 18.266571 1.3333321 0.00316012 0.024267512 -1 0.0
78 272.5813991 -31.8423184 0.090793465 0.1674242 1.341397274 0.17133236 -2.528937736 0.112095065 17.95336 1.373558 0.00150971 0.019594298 -1 0.0
79 272.5857809 -31.84530465 0.188042101 0.23923331 0.438399492 0.24048112 -9.350350054 0.17227055 18.505383 1.1144714 0.00256381 0.030528355 -1 0.0
80 272.5731364 -31.8465873 0.327234931 0.3086701 -1.624741934 0.33996564 2.887570341 0.22744983 18.773611 1.2150517 0.003710243 0.0301463 -1 0.0
81 272.5775672 -31.84543504 -0.486464367 0.3596701 -3.996452364 0.3299758 -3.936080588 0.22986957 18.982971 1.3599072 0.004550248 0.027384146 -1 0.0
82 272.5784468 -31.84211074 0.472051061 0.52284867 -7.427949525 0.57519484 -3.889771559 0.3833736 19.248434 1.1446743 0.00912971 0.067658177 -1 0.0
83 272.5842924 -31.84252831 0.07985097 0.26899302 6.181103898 0.26536295 0.243026132 0.17576668 18.656097 1.4194374 0.003134421 0.052321772 -1 0.0
84 272.5854408 -31.84190324 0.447503811 0.29439574 -2.7825015 0.27039593 -4.756657831 0.21049257 18.867281 1.4181862 0.011085185 0.069545581 -1 0.0
85 272.5784947 -31.84049126 -0.846819372 0.67815614 1.990291556 0.7027282 -3.897709316 0.4804702 19.587137 1.1044369 0.005836696 0.202959313 -1 0.0
86 272.5802807 -31.84327342 1.175012581 0.35766304 -0.022143243 0.36931235 -5.308039023 0.25177732 18.602718 1.3007641 0.00462408 0.028738762 -1 0.0
87 272.5812469 -31.84613652 0.454289846 0.8781224 -4.865653845 0.8302551 -6.923943803 0.5635219 19.627428 0.76446915 0.00626648 0.057827806 -1 0.0
88 272.5849355 -31.84593332 -1.623772111 0.7588009 2.464338592 0.8765145 -6.299729348 0.59644014 19.686869 1.6810265 0.007992794 0.115028578 -1 0.0
89 272.5878454 -31.84522103 0.022160955 0.18693888 -4.122257904 0.18138124 -5.533495274 0.12535994 18.051046 1.5841446 0.002411573 0.011053095 -1 0.0
90 272.5866826 -31.84402159 -0.117183549 0.5987055 1.642436916 0.59659016 -6.983740386 0.35867468 19.489079 1.2870235 0.006149594 0.011561394 -1 0.0
91 272.6038619 -31.8428637 0.522838633 0.30130866 -2.011015255 0.3216702 -6.116944808 0.22942208 18.97008 1.4762154 0.004697941 0.009132514 -1 0.0
92 272.5885081 -31.84573615 -0.452269035 1.4133382 0.130808719 1.3726388 -2.59596337 0.8343038 19.325792 1.2471542 0.028638872 0.047847498 -1 0.0
93 272.5845966 -31.8436816 0.130849902 0.3266605 -2.699392474 0.31658015 -5.68924447 0.21925975 18.825504 1.3455276 0.00333459 0.026906397 -1 0.0
94 272.574989 -31.84550181 -0.120634839 0.23884256 2.263605842 0.25844157 -4.224430189 0.17322715 18.630087 1.4274368 0.003040242 0.021450652 -1 0.0
95 272.5875069 -31.84439958 -0.278675608 0.10970215 -4.274221623 0.09799252 -8.365524584 0.06873171 16.778267 1.106699 0.001341645 0.006099162 -1 0.0
96 272.5850201 -31.84265343 -0.523774641 0.20951276 -0.116006483 0.20017412 -4.795391425 0.11871512 17.376965 1.5596218 0.00389725 0.008537281 -1 0.0
97 272.581829 -31.84501284 0.218477855 0.03640769 2.223897416 0.03928055 1.334423119 0.02584762 14.930491 1.4599857 0.000284462 0.001026177 -1 0.0
98 272.5776045 -31.84675464 -0.248962754 0.3139802 0.198377444 0.28527284 -5.965542441 0.20068525 18.811214 1.3920631 0.003339001 0.019276974 -1 0.0
99 272.578122 -31.84466027 1.265736989 0.629556 -2.472258412 0.44206184 -7.147006711 0.36835247 19.163092 1.4829369 0.004503405 0.05982539 -1 0.0
100 272.5793572 -31.84305641 -0.133773741 0.3637222 -3.506548758 0.33560014 0.139009953 0.23030104 18.970806 1.446598 0.003412471 0.036593462 -1 0.0
101 272.5806247 -31.84034067 -0.025035223 0.27162683 0.32046359 0.27007535 -8.726023541 0.17884803 18.610657 1.2017365 0.002210906 0.030953451 -1 0.0
102 272.5739144 -31.84630566 0.781571785 0.37170133 -2.200950063 0.37430745 -5.243113813 0.24507807 19.137999 1.176754 0.004264182 0.027031922 -1 0.0
103 272.573872 -31.84509338 0.103851423 0.03602743 -4.271085322 0.042584427 -9.230219554 0.026807472 14.999641 1.6705494 0.000360027 0.001242071 -1 0.0
104 272.5971107 -31.84179146 0.020091566 0.052894056 -2.853944382 0.05490329 -2.437237179 0.03706625 15.936027 1.6890192 0.000529897 0.002764627 -1 0.0
105 272.5917947 -31.83997358 -0.031132556 0.05038148 2.078935966 0.053567115 -4.420366985 0.035196044 15.690525 1.6962881 0.000790565 0.003226398 -1 0.0
106 272.5949672 -31.83801221 0.345270898 0.088876225 -1.753386815 0.09602184 -8.105748502 0.06505684 16.80235 1.6371717 0.001298634 0.004279879 -1 0.0
107 272.602743 -31.83754094 0.142718151 0.048274945 -0.091662362 0.051463835 -8.213871515 0.034786616 15.774965 1.648943 0.000467029 0.002103177 -1 0.0
108 272.5900216 -31.83711364 0.391285693 0.06695723 -1.803629771 0.07242645 -0.425583203 0.04854458 16.5454 1.021965 0.000785513 0.006438364 -1 0.0
109 272.5980255 -31.83736545 0.146807947 0.07700382 -5.786593152 0.07203614 -3.218152147 0.05849957 15.847428 1.7124338 0.002714186 0.113138587 -1 0.0
110 272.5959934 -31.83558853 0.03212198 0.047471736 -2.67118928 0.04627155 -5.420715546 0.03252027 15.527256 1.5058575 0.000407982 0.002074332 -1 0.0
111 272.5894618 -31.83498144 -0.167650826 0.06466032 -4.939401709 0.06987098 -4.373643105 0.049353745 16.332434 1.5174837 0.001267481 0.004003684 -1 0.0
112 272.5924044 -31.82702314 0.10643702 0.044879872 -1.09792054 0.048061393 -1.712364626 0.031902004 15.44857 1.5558834 0.000465809 0.005047384 -1 0.0
113 272.5860774 -31.83424665 0.112239037 0.14639032 0.487723546 0.16728014 -4.1742265 0.105689265 17.731094 1.5605145 0.001846798 0.015969287 -1 0.0
114 272.5897059 -31.83854663 0.465765212 0.09627668 0.274466246 0.10321625 -8.025034084 0.07236425 17.038414 1.0960274 0.001347985 0.012782827 -1 0.0
115 272.59172 -31.83418923 0.009053768 0.093260795 -0.325561478 0.09830988 -3.459887449 0.06646554 16.851809 1.5552883 0.001009063 0.007235647 -1 0.0
116 272.5994905 -31.84088841 0.52486723 0.4163197 -1.226243364 0.48634002 -5.429609156 0.33784884 19.275974 1.7920723 0.004649933 0.044108829 -1 0.0
117 272.5924243 -31.84333457 -0.427488292 0.097912274 -3.643581238 0.10625213 -6.060881095 0.07184506 17.084171 1.7151413 0.00183058 0.005836159 -1 0.0
118 272.5933114 -31.83873522 0.064383914 0.2510409 0.844207006 0.23736249 -4.508614374 0.16304222 16.839178 1.5541048 0.002131296 0.006068881 -1 0.0
119 272.5937241 -31.83264537 0.014638874 0.070650585 1.190482205 0.075097494 -5.950560513 0.049745787 16.5163 1.5220919 0.000603673 0.005210422 -1 0.0
120 272.584916 -31.83854143 -0.05292228 0.14233416 1.383912788 0.15327847 -3.754635843 0.10101547 17.765366 1.5985489 0.001535769 0.011378994 -1 0.0
121 272.5927829 -31.83751463 0.273133801 0.1869389 -0.962724727 0.18826495 -2.507396996 0.13022216 18.182362 1.408947 0.001939226 0.020548854 -1 0.0
122 272.6030382 -31.83606198 -0.09032966 0.34016776 -1.742244119 0.35882568 -7.689397754 0.23779795 19.131 1.0365353 0.003335262 0.070036236 -1 0.0
123 272.5847735 -31.84007552 -0.29555653 0.26023102 -3.898611963 0.2638599 -5.936137269 0.19631587 18.744406 1.157484 0.002876719 0.021094635 -1 0.0
124 272.585381 -31.84041428 -0.057007369 0.24812393 -2.281056315 0.26972842 -4.774610946 0.18112734 18.66183 1.3401566 0.002672738 0.040363772 -1 0.0
125 272.5857724 -31.83533734 -1.226674691 1.1756731 3.97729108 0.74494827 -5.219425026 0.58735156 19.597363 0.4880066 0.006520602 0.06605581 -1 0.0
126 272.5922326 -31.83077349 0.704375549 0.0977728 -6.541685349 0.09540167 -4.726277371 0.06852163 15.908822 1.9136696 0.00115227 0.021946738 -1 0.0
127 272.5907006 -31.82896085 -0.106132015 0.27548727 -7.039682227 0.31249076 -6.442578545 0.20283365 17.943714 1.1413155 0.003407012 0.027257528 -1 0.0
128 272.5872507 -31.8325661 2.120082309 0.9864514 -6.261370779 0.8810946 -6.136203403 0.71248996 18.775454 1.2872562 0.008416641 0.020152974 -1 0.0
129 272.5876426 -31.83428883 0.07881811 0.20803778 -4.345870079 0.23339725 -5.245709857 0.15944557 18.40206 1.375206 0.00586874 0.025990824 -1 0.0
130 272.5908922 -31.83105701 0.355025105 0.26537675 -2.675041346 0.2639742 -4.580783725 0.18819478 18.7377 1.4547348 0.002720623 0.044357592 -1 0.0
131 272.5916707 -31.82853559 0.992436815 0.27629924 -2.925824657 0.29136282 -7.517206159 0.19863962 18.86529 1.991848 0.003040395 0.027690662 -1 0.0
132 272.5936256 -31.83540249 0.130235727 0.23046678 0.568185751 0.21501634 -1.228528311 0.15797342 18.500486 1.3993397 0.002029034 0.040986415 -1 0.0
133 272.594714 -31.83178912 0.005963907 0.23567012 -0.841358712 0.23664625 -5.871714991 0.16345954 18.61369 1.7577248 0.001970286 0.03391956 -1 0.0
134 272.6003765 -31.8345155 1.069906968 0.32934806 -4.102095974 0.36567703 -3.669750693 0.26266918 18.831547 1.911026 0.003225824 0.02988526 -1 0.0
135 272.5862154 -31.8334567 0.041282935 0.43589374 -6.0901921 0.47297886 -6.099190561 0.30370042 19.074623 1.0827312 0.006612024 0.048469215 -1 0.0
136 272.5899756 -31.83408266 -0.495591954 0.32901174 -1.275003962 0.33669668 -5.193377677 0.22439641 19.077024 1.5129185 0.003898293 0.07700134 -1 0.0
137 272.5909658 -31.83375175 0.208408517 0.31701192 -1.259927792 0.3234063 -3.301946607 0.23171535 18.985538 1.4648571 0.005495861 0.043270557 -1 0.0
138 272.5910311 -31.83185854 0.249155073 0.36657864 -1.286792195 0.34509873 -3.326018535 0.2593391 18.985928 1.3875809 0.004190547 0.049165572 -1 0.0
139 272.5953084 -31.83360105 0.318871031 0.48752508 -4.70062125 0.4603852 -4.15620795 0.31624037 19.46943 1.5180092 0.0048012 0.126019686 -1 0.0
140 272.59549 -31.83214577 -0.586574292 0.5023643 1.894047267 0.51288515 -2.626397743 0.3388174 19.497145 1.5494938 0.004506947 0.040253073 -1 0.0
141 272.596885 -31.83304912 0.50426448 0.9671189 -6.605197955 1.2346045 -3.367768727 0.67267346 19.71834 0.52008057 0.00715529 0.224232911 -1 0.0
142 272.5982367 -31.83498949 -0.051146919 0.38957745 3.686040006 0.4277033 1.188742559 0.27416745 19.308207 1.4290409 0.004697696 0.128038341 -1 0.0
143 272.5924175 -31.83323601 0.498337262 0.7735631 -1.830632051 1.1125709 -4.949808143 1.0313123 19.894346 1.4195251 0.00751557 0.080369715 -1 0.0
144 272.5987021 -31.83254534 0.353074748 0.41774464 -3.798958063 0.46572548 -7.451624559 0.31940943 19.410284 1.0078602 0.004346471 0.068372516 -1 0.0
145 272.5997779 -31.83563323 0.181473528 0.21608129 -1.117978688 0.22720982 0.633086266 0.16023053 17.945356 1.5457058 0.0028653 0.010562592 -1 0.0
146 272.5929659 -31.84428209 0.389854864 0.14310133 1.871666525 0.14737387 0.143645933 0.10148009 17.831345 1.6450024 0.001462791 0.009005821 -1 0.0
147 272.5917618 -31.84250592 0.073181623 0.34824187 1.233081935 0.36327925 -1.161452772 0.26571402 18.858316 1.2356987 0.002754634 0.02759497 -1 0.0
148 272.5960957 -31.84275753 0.375756444 0.17948781 -0.326724657 0.18851462 -5.898198407 0.12882084 18.221899 1.3822727 0.001942807 0.018488272 -1 0.0
149 272.5894929 -31.84177632 0.988988555 0.55535877 -0.26416665 0.6605336 -4.062408236 0.42402318 19.4417 1.4424038 0.007082768 0.100802391 -1 0.0
150 272.5919228 -31.84570876 0.249609671 0.65143013 -2.972583428 0.6125659 -4.144972122 0.41379145 19.28392 1.4340153 0.007352544 0.025528895 -1 0.0
151 272.5944629 -31.84520386 -0.867656315 0.5251306 -3.871545182 0.5784567 -3.121546894 0.40662947 19.3391 1.376358 0.00454083 0.01606751 -1 0.0
152 272.5943899 -31.84371635 1.329764774 0.72698087 -2.073450061 0.6660714 -4.955258808 0.42912766 19.628227 2.1059742 0.006133289 0.068321831 -1 0.0
153 272.5950654 -31.84312329 -0.395042822 0.37726432 -1.060949409 0.35705504 -7.889216839 0.24009115 19.10789 1.2091064 0.003232079 0.04396819 -1 0.0
154 272.5907632 -31.84137741 1.965528322 1.1911949 -9.678852354 1.2664264 -4.328036943 0.78840125 19.342903 1.2122746 0.007779863 0.020437106 -1 0.0
155 272.5960258 -31.84440288 -0.032545939 0.22275907 -3.65808817 0.22714029 -1.379600169 0.1601862 18.599339 1.3959217 0.002006559 0.024210608 -1 0.0
156 272.6017728 -31.83894956 -0.032234981 0.16998115 -5.591378221 0.19827229 -2.067923835 0.12868732 18.004261 1.6523342 0.001502225 0.01473667 -1 0.0
157 272.5983178 -31.84092425 -0.533882552 0.43683675 -4.643286036 0.41584367 -1.319028653 0.2935662 18.27078 1.4454937 0.008947559 0.014272631 -1 0.0
158 272.5996316 -31.83883227 -0.086734761 0.23319678 -0.157957719 0.22177301 -6.865237135 0.15986614 18.353561 1.3304062 0.004166668 0.018897534 -1 0.0
159 272.6021955 -31.83595656 0.021242344 0.18406959 -3.401615204 0.18286827 -5.53385036 0.12866881 18.24104 1.5933228 0.001968364 0.018475373 -1 0.0
160 272.5954448 -31.84136239 -0.037453783 0.24386874 -0.885790836 0.24627565 -2.020034302 0.17345138 18.730227 1.3574944 0.002816768 0.044281803 -1 0.0
161 272.5972055 -31.8389236 0.15425543 0.14900437 -1.582806807 0.15554297 -7.007992035 0.10680628 17.908827 1.7938576 0.001657141 0.011160543 -1 0.0
162 272.5950772 -31.84075877 -0.474255992 0.60602766 -3.93177661 0.9927222 -3.765553007 0.6461041 19.132654 1.4597492 0.005061564 0.000851467 -1 0.0
163 272.5977381 -31.83702994 0.342449712 0.05948658 -1.089481619 0.05586209 -6.436257971 0.040586077 15.519045 1.7031584 0.000916787 0.011974828 -1 0.0
164 272.5911134 -31.84392993 0.105623408 0.12058211 -2.059388145 0.12544027 -8.095394268 0.08660727 16.12531 1.3846664 0.00230202 0.005794992 -1 0.0
165 272.5963363 -31.83847606 1.37461381 0.25407994 -0.900567565 0.24304666 -5.671471081 0.17744862 18.54961 1.5761032 0.003417918 0.043886263 -1 0.0
166 272.5980844 -31.83622236 0.713090657 0.20685445 -5.869729173 0.20554478 -7.247378912 0.1453726 18.369658 1.1857643 0.002164717 0.006715398 -1 0.0
