source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4063221134446915328,270.52587101621236,-26.916922691753072,-0.02823765697766048,0.7958764,1.2251413933255768,0.7949896,-1.7432421266870832,0.56097317,1.384799,132.27634,19.78399,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063196429798485248,270.37839645170965,-27.001885083713855,0.46499272581354745,0.10510929,-0.2748815041492213,0.1094266,-1.4098259842737717,0.07828681,1.0944647,824.8064,17.243387,105.78382,71.41616,2.0448723,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
4063195712390684928,270.39227385284414,-27.0010837289126,-0.5657237838773564,1.8059915,-3.0173009471998635,1.6021497,-4.8969523561428625,0.9546816,1.0028454,,,,8.255395,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639351712128,270.41297364534284,-27.004680938732925,0.25305337820682133,0.27884442,-0.6290694189449196,0.33237314,-3.051187213892473,0.24105597,1.0576128,380.8287,18.638357,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639351712256,270.414245365686,-27.004476463547377,0.0018127326990534862,0.10621067,-7.045973230260466,0.10391358,-5.00231600990449,0.074255854,1.0491188,930.26526,17.248047,37.45683,143.04297,3.271555,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5042.6533,3.0943,-0.1306,2219.1865,5.9847,4.0658,2.2621
4063195639369683712,270.4057161906532,-26.99944167144027,-0.6825055526583448,0.9807439,-1.6327177254700855,1.4450076,1.3298665723314023,0.9845091,1.0798672,46.94367,20.37211,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639369710080,270.4086029481739,-27.00417224756643,0.3578297811252671,0.25772798,-1.6614323547366519,0.2819124,-0.6646911544754592,0.20326836,1.0132852,405.09555,18.744324,13.568958,72.55342,3.1920013,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3978.8115,4.7009,-0.271,354.8174,4.5257,2.926,1.661
4063195639369725440,270.4099432531509,-27.00112426670159,1.2983539049054165,0.29496416,1.9249251163775012,0.32293367,-4.520478270227451,0.2419787,1.005778,370.0571,18.844553,15.546804,38.600132,2.390255,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3876.2844,4.7658,-1.3079,480.6302,1.8615,1.2824,0.6984
4063195639382872832,270.40295210189964,-27.00329874342478,-0.2735954183340787,0.20652434,-3.9102532331024467,0.2286407,-9.236928806748892,0.16235025,0.96592253,419.46603,18.448526,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639382874240,270.40709480183216,-27.001253982377325,0.24048537832741135,0.11283697,-0.978483977445758,0.11254442,-1.046860318166293,0.08061542,0.97585046,860.7087,17.528866,51.961582,140.09941,2.3805485,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4309.4473,4.1487,-0.7814,863.6646,2.7746,1.9465,1.0603
4063195639524511360,270.3998623124271,-27.00567748003027,0.29544256982730144,0.2474024,-1.6950599216377857,0.27293327,-9.56770885815462,0.1963168,1.0080286,254.34392,18.62421,12.016768,44.61186,3.354807,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4313.8857,4.3608,-0.901,504.9701,5.3837,3.5545,1.9893
4063195639524512384,270.4037723713192,-27.00287446786953,0.23206696624273923,0.29168057,-2.950969718751378,0.32566252,-1.6840652428262153,0.23414518,1.0411681,425.6444,18.906755,8.30669,68.99216,3.341339,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3686.3252,4.0974,-0.9636,461.9512,4.9209,3.1213,1.7752
4063195639524530560,270.40122779268813,-27.002487019857917,-0.026153328796760876,0.421928,-0.09109596638030913,0.4298735,-0.7692051195532921,0.3026728,1.0580897,261.7047,19.516417,13.055875,29.13113,2.2090378,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639524531200,270.4024909458758,-27.002398699788436,0.8802309074069798,0.42936185,2.2574242098185935,0.44556358,-3.580682690345934,0.3022659,1.0436478,283.5582,19.3689,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
4063195639524532352,270.4040678500325,-27.001159677987783,1.1436229338366612,0.3514304,-6.550514237764758,0.38752195,-5.511743246813909,0.2719473,1.0037847,270.38583,19.156843,7.227991,38.027702,3.474596,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
