source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4041577935138202624,267.7319796706059,-34.62795303124775,-1.3652795164130256,-3.500081246084776,-4.606146260291777,1.1027489,19.868177,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900713196032,267.72606349797314,-34.630071415141195,0.07725507518939095,-2.87174371201171,-5.393505391801339,0.9057479,15.628306,2.2518635,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4605.0537,2.5242,0.5398,5584.119,2.6766,1.9051,1.0013
4041577900713197056,267.7292960531312,-34.62986412655797,1.2853996738165216,3.248437410214824,-4.992595971531083,19.560488,16.635069,1.7531023,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577900713206400,267.7251908212684,-34.62835582397406,-0.7126770983922387,-5.6093010873966325,-12.051379465983011,1.4401587,18.219707,1.7612438,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4041577900713220608,267.72586449618353,-34.6247519875823,0.20234474786448328,-5.73274475023977,-2.570769575024598,1.0226662,16.061676,1.8604612,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5122.1597,3.4965,-0.4578,1875.1664,2.1627,1.6347,0.891
4041577900722442752,267.7243451681855,-34.62853864595201,0.2334025871116309,-0.33630295154308787,-4.87480915236981,1.063079,16.418966,1.9740362,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,5051.8584,3.2919,-0.354,2757.126,2.4018,1.7931,0.975
4041577900738174848,267.72201880287275,-34.63085779887728,-0.157583430949429,-2.158334559762767,-3.43413853814386,1.351414,17.415226,2.0734406,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4498.61,4.4426,0.2834,972.4662,1.9329,1.3858,0.7372
4041577900738192256,267.7254411279035,-34.62986312604916,-0.30311286271390253,0.17716449417272676,-5.7373196883509365,1.3768939,17.574476,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900738207616,267.72604239690804,-34.63058140111069,0.9349727613036702,1.357041685488331,-3.585523452798035,1.2194269,19.218369,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778225024,267.7292227734941,-34.62953430990033,-1.456668582266711,-4.425276644475995,-3.0005849907995454,1.998078,17.845663,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4041577900778255360,267.7216737345517,-34.629292547291726,-0.5185833665855576,0.6921557829101153,-3.369081978809826,1.2827756,19.011185,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778256512,267.7238454169993,-34.629215226784424,-0.03227330283384527,-0.7594500350619103,-2.620083419666189,1.1335574,18.8935,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778259840,267.72704784794416,-34.62690225826276,0.42615220548566546,0.8805926776658054,0.1251251174469336,0.91427374,18.488218,1.3085289,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778314112,267.72042726913,-34.62998343571853,,,,,19.663652,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778315904,267.72229317049323,-34.62846810370165,1.569692716817444,-1.4473698714257783,-8.566394946223213,2.332926,19.404373,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778316032,267.7223277501952,-34.628882086921166,0.10299138491812154,-4.883745490148595,-6.889292372316795,0.9859661,19.117964,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778316544,267.7224216914104,-34.63009945493792,,,,,19.682259,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778318592,267.7238639447392,-34.63063416361467,,,,,19.407755,1.5777187,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778319744,267.72421066255794,-34.63093990623243,4.541104587943904,-5.0198946088418825,-6.243047876797021,1.31179,19.654417,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778321024,267.72478425972525,-34.626279010185655,,,,,19.9429,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778321792,267.72549994159664,-34.627863422329916,,,,,19.67103,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778323968,267.72670944166043,-34.63000726093283,,,,,19.975512,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778328704,267.7285824046176,-34.62753112391961,0.015099309018047812,-9.296959114269551,-6.365552636592279,1.1175978,19.400291,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778329728,267.7294997388017,-34.629156267361466,0.9870759722613478,-3.138475196310898,-2.18069619573165,1.4165819,19.458904,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778370816,267.72538882412425,-34.62683460667076,,,,,19.65605,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778425984,267.7209270035875,-34.62988674232936,-3.532675298193289,-2.145213186793639,-8.871301506736604,1.0955415,19.509083,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
