# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
30579 12.50119 0.56606 0.92404 0.08500 0.55064 0.22508 0.50
47730 12.72164 0.47880 0.92329 0.08497 0.56652 0.22408 0.50
44616 12.76813 0.59098 0.92316 0.08498 0.56293 0.22369 0.50
48981 13.83486 0.99986 0.91711 0.08536 0.57986 0.23360 0.54
51552 13.78195 1.09282 0.91812 0.08542 0.56441 0.23021 0.52
27514 13.63599 2.51182 0.93100 0.08140 0.48128 0.20275 0.49
42223 14.99282 1.19261 0.86994 0.08425 0.63433 0.15332 0.57
31630 17.02745 1.19670 0.68786 0.06600 0.28409 0.13434 0.45
42410 17.41543 1.17594 0.65638 0.06576 0.23913 0.11499 0.41
45048 17.53066 1.18140 0.64743 0.06656 0.23576 0.11246 0.41
31632 17.53083 1.20508 0.64690 0.06644 0.24114 0.11510 0.40
30568 16.09308 1.19849 0.77219 0.07309 0.51164 0.15259 0.63
33652 16.56742 1.19452 0.72831 0.06918 0.38588 0.16277 0.56
27616 17.11191 1.17703 0.68133 0.06582 0.26266 0.12855 0.42
33889 17.50015 1.15473 0.65028 0.06646 0.23445 0.11208 0.41
45664 15.51885 1.23238 0.82805 0.07923 0.63258 0.12385 0.62
47521 17.35380 1.20188 0.66067 0.06532 0.25331 0.11979 0.40
49722 18.51831 1.21270 0.57376 0.09519 0.21279 0.10997 0.44
67200 17.22305 1.17772 0.67200 0.06557 0.24467 0.12034 0.41
36990 18.42185 1.16124 0.58270 0.09293 0.21501 0.10552 0.44
30141 15.03067 1.20894 0.86804 0.08384 0.64020 0.14703 0.57
44614 15.19093 1.18934 0.85338 0.08201 0.64328 0.13537 0.60
34311 16.94395 1.11824 0.69633 0.06661 0.25807 0.12710 0.42
31998 15.58516 1.20649 0.81948 0.07785 0.61237 0.12950 0.63
48929 15.89544 1.23729 0.79191 0.07590 0.58109 0.13527 0.65
66936 16.00217 1.24334 0.78196 0.07520 0.55927 0.14348 0.66
45321 17.30073 1.10724 0.66691 0.06572 0.22999 0.11361 0.42
49030 17.44383 1.21187 0.65392 0.06629 0.24879 0.11902 0.40
49184 18.26950 1.17598 0.59473 0.08923 0.21434 0.10804 0.44
45234 14.55283 1.14048 0.89750 0.08676 0.58746 0.18601 0.55
66974 15.86295 1.22983 0.79380 0.07579 0.58997 0.13122 0.65
31227 15.90159 1.24874 0.79256 0.07655 0.58637 0.13535 0.65
37278 16.78221 1.11129 0.71054 0.06769 0.28417 0.13692 0.44
50048 16.81748 1.24518 0.70503 0.06721 0.36266 0.15581 0.54
49056 16.88248 1.25099 0.69953 0.06676 0.35247 0.15071 0.53
57844 17.32747 1.12707 0.66424 0.06555 0.23363 0.11457 0.41
47229 18.61466 1.14222 0.56638 0.09377 0.21278 0.10852 0.45
42276 16.43288 1.13082 0.74161 0.07022 0.36019 0.16617 0.52
44902 17.23180 1.09599 0.67278 0.06595 0.23102 0.11647 0.41
31231 17.38740 1.09295 0.66014 0.06572 0.22861 0.11359 0.43
31646 17.59022 1.25103 0.64141 0.06660 0.24449 0.11675 0.40
27671 14.40041 1.14510 0.90483 0.08715 0.57481 0.20753 0.55
46711 17.65239 1.09995 0.63974 0.06834 0.22552 0.11220 0.44
37070 18.55335 1.22885 0.56923 0.09418 0.21407 0.10897 0.43
46067 15.28492 1.14672 0.84502 0.08058 0.62074 0.13726 0.61
47837 17.87763 1.10341 0.62395 0.07491 0.21972 0.10953 0.45
48462 16.48523 1.17914 0.73594 0.06970 0.39352 0.16318 0.56
48465 17.11238 1.25998 0.67963 0.06556 0.30085 0.14042 0.48
42413 17.24707 1.07749 0.67186 0.06599 0.22743 0.11419 0.42
51664 17.26188 1.24141 0.66752 0.06525 0.27151 0.12682 0.43
27798 18.11879 1.07518 0.60660 0.08096 0.21540 0.11087 0.45
51782 18.23939 1.24775 0.59482 0.08639 0.21898 0.10964 0.42
49085 17.78385 1.17903 0.62989 0.07300 0.22994 0.10964 0.42
32007 17.99248 1.06486 0.61589 0.07782 0.21628 0.10882 0.46
49719 18.49927 1.22050 0.57514 0.09472 0.21362 0.10895 0.43
32882 18.63269 1.11766 0.56586 0.09390 0.21338 0.10885 0.45
30454 16.27887 1.26432 0.75515 0.07323 0.51588 0.15126 0.65
37256 16.48129 1.26575 0.73646 0.07181 0.46065 0.15766 0.63
30792 15.38465 1.14999 0.83647 0.07958 0.62023 0.13700 0.63
51909 16.98191 1.26595 0.69050 0.06608 0.33623 0.14660 0.52
45044 17.11047 1.26377 0.67976 0.06556 0.30274 0.14110 0.49
37946 17.23319 1.24411 0.66992 0.06537 0.27410 0.13345 0.44
51844 18.41990 1.24445 0.58028 0.09041 0.21647 0.10591 0.43
46303 17.41339 1.27056 0.65529 0.06598 0.26953 0.12599 0.43
48941 17.56160 1.07141 0.64709 0.06706 0.22339 0.10930 0.44
48281 18.50999 1.21105 0.57440 0.09491 0.21320 0.10961 0.44
38146 16.21162 1.27200 0.76416 0.07579 0.53158 0.14582 0.66
30935 17.76105 1.24271 0.62970 0.07115 0.23892 0.11265 0.40
49534 18.56631 1.13358 0.57010 0.09453 0.21127 0.10836 0.45
44994 14.39525 2.79107 0.92683 0.08540 0.52314 0.19501 0.49
50608 15.30662 1.27104 0.85588 0.08146 0.65858 0.12938 0.58
44769 17.69928 1.25756 0.63287 0.06790 0.24436 0.11490 0.39
44542 17.18045 1.25400 0.67408 0.06535 0.28728 0.13149 0.47
52563 17.94223 1.02332 0.62050 0.07653 0.21417 0.10981 0.46
45034 14.43109 2.78685 0.92630 0.08603 0.52592 0.19356 0.49
32539 14.62317 2.78306 0.92288 0.09070 0.53808 0.19208 0.49
30972 17.36051 1.06608 0.66282 0.06574 0.22596 0.11165 0.43
48927 17.36297 1.00267 0.66401 0.06582 0.22046 0.11083 0.45
42791 17.38920 0.98830 0.66206 0.06578 0.22111 0.11073 0.46
30247 18.44414 1.22216 0.57887 0.09171 0.21660 0.10765 0.43
45047 17.13130 1.26577 0.67798 0.06546 0.30555 0.14012 0.48
47133 16.98734 1.28861 0.68991 0.06643 0.35214 0.14853 0.54
45124 17.44487 0.99244 0.65743 0.06620 0.22122 0.11066 0.46
51153 17.85377 0.73007 0.63460 0.07539 0.21569 0.10702 0.48
36802 18.26658 1.19740 0.59457 0.08910 0.21498 0.10842 0.43
52224 17.28561 1.29320 0.66461 0.06505 0.29959 0.13257 0.47
33320 18.07135 1.25377 0.60703 0.07988 0.22590 0.11585 0.41
48610 18.10694 1.19903 0.60497 0.08056 0.22183 0.11373 0.43
32337 14.85035 2.79523 0.91646 0.09655 0.55790 0.18947 0.49
30434 16.19411 0.98138 0.76583 0.07228 0.29621 0.14779 0.44
45085 14.71531 2.79800 0.92088 0.09314 0.54554 0.19199 0.49
45790 15.47547 1.28510 0.84290 0.08117 0.64658 0.12417 0.59
49430 17.42233 0.96208 0.66001 0.06605 0.21947 0.11088 0.46
30145 17.89428 1.24123 0.62018 0.07545 0.22738 0.11056 0.40
51158 18.26248 1.29768 0.59203 0.08637 0.21994 0.10789 0.41
30589 12.36768 2.53323 0.93210 0.08249 0.51036 0.21871 0.50
49536 16.09455 1.28634 0.77730 0.07803 0.56912 0.13130 0.66
44584 16.27746 1.29933 0.76117 0.07876 0.53852 0.13838 0.66
31141 17.42030 1.29348 0.65430 0.06587 0.27948 0.12798 0.44
48499 17.26365 1.30487 0.66609 0.06504 0.30486 0.13672 0.48
30246 18.14700 1.29919 0.60117 0.08350 0.22999 0.11295 0.40
47199 17.26415 1.28213 0.66656 0.06505 0.29223 0.13300 0.46
33848 15.97453 1.31186 0.80066 0.08333 0.59587 0.12552 0.65
37117 16.36356 0.66700 0.75555 0.07157 0.23174 0.12052 0.48
45000 17.21541 1.31419 0.67013 0.06525 0.31617 0.13935 0.49
37911 17.35107 0.82794 0.66860 0.06632 0.21290 0.10818 0.47
30169 17.80183 1.31937 0.62558 0.07277 0.25235 0.11549 0.41
45117 18.08306 1.29191 0.60577 0.08062 0.23113 0.11645 0.40
44332 13.18670 0.98081 0.92169 0.08500 0.54594 0.22042 0.50
43649 14.42979 1.31659 0.91474 0.08535 0.53980 0.19336 0.49
34609 15.02263 2.50780 0.90527 0.09799 0.58232 0.18667 0.49
30816 16.48219 1.31332 0.73981 0.07590 0.49877 0.14701 0.65
51908 16.91366 1.32342 0.69683 0.06836 0.39680 0.15181 0.58
37165 17.47038 1.32123 0.64965 0.06568 0.28097 0.12523 0.45
51094 18.10979 0.80468 0.61224 0.08137 0.21025 0.10908 0.48
46870 17.29562 1.32368 0.66325 0.06497 0.31532 0.13616 0.48
32949 17.77280 1.31058 0.62814 0.07238 0.25062 0.11528 0.40
36961 18.55341 1.25965 0.56886 0.09409 0.21370 0.10892 0.42
32534 13.74544 2.94042 0.93131 0.08135 0.48351 0.19989 0.50
49650 16.09624 1.31220 0.78543 0.08261 0.57823 0.12934 0.66
31094 17.54309 1.30710 0.64411 0.06621 0.26608 0.12169 0.42
28632 18.41703 1.16546 0.58310 0.09294 0.21494 0.10516 0.44
38139 16.90171 1.33164 0.69783 0.06882 0.40254 0.15118 0.59
37982 18.11946 1.18958 0.60461 0.08135 0.22182 0.11337 0.43
38232 18.48941 1.19430 0.57635 0.09462 0.21202 0.10775 0.44
30179 18.60112 1.32397 0.56291 0.09139 0.22026 0.11092 0.41
27005 16.20905 1.33693 0.78118 0.08714 0.56203 0.13001 0.65
49024 17.63347 1.32810 0.63659 0.06649 0.26258 0.11973 0.42
42719 17.17794 0.91110 0.68088 0.06622 0.21564 0.10870 0.46
27749 17.32320 1.33918 0.66076 0.06495 0.31384 0.13676 0.49
47928 17.43397 1.34279 0.65237 0.06603 0.29315 0.13096 0.47
32773 13.94727 2.50102 0.93016 0.08128 0.49262 0.20176 0.49
31297 14.58339 2.75385 0.92362 0.08963 0.53657 0.19197 0.49
31770 15.20735 2.51613 0.89135 0.09954 0.59692 0.17735 0.49
32766 15.98484 1.33928 0.80706 0.08583 0.60043 0.12633 0.63
66969 16.32695 1.34489 0.76922 0.08725 0.54990 0.12939 0.66
27537 17.59806 1.34161 0.63917 0.06631 0.27064 0.12423 0.44
48614 18.61087 1.33066 0.56226 0.09145 0.22085 0.11006 0.41
29785 12.05458 2.22404 0.93205 0.08267 0.51606 0.21757 0.49
31104 16.90781 1.34860 0.69835 0.07079 0.41325 0.14994 0.60
